loan_id,application_date,age,annual_income,employment_years,loan_amount,tenure_months,interest_rate_pct,credit_score,dti_pct,prior_delinquencies,collateral_value,ltv_pct,dependents,purpose,employment_type,region,existing_loans,monthly_obligations,days_past_due,default_flag,npa_flag,risk_score,risk_band,pd_estimate
LN103434,2023-01-07,58,56600,7.9,606000,60,12.77,744,51.5,0,417000,145.3,3,Home,Salaried,West,0,13717.12,5,0,0,30.44,Moderate,0.0794
LN100117,2023-01-07,27,49000,13.2,660000,12,7.81,775,44.8,0,895000,73.7,0,Home,Salaried,North,1,57354.4,0,0,0,21.97,Low,0.015
LN100424,2023-01-08,44,59700,12.6,681000,60,11.81,680,38.6,1,1126000,60.5,2,Business,Salaried,Central,0,15083.17,0,0,0,24.77,Low,0.0277
LN101442,2023-01-08,40,33500,13.0,1024000,48,10.17,719,28.8,2,1163000,88.0,1,Business,Contract,South,1,26054.97,0,0,0,27.16,Moderate,0.0442
LN104164,2023-01-08,34,102000,20.7,731000,72,8.86,730,19.0,0,1022000,71.5,0,Education,Contract,West,1,13125.93,0,0,0,18.97,Low,0.0117
LN102187,2023-01-09,36,180000,9.4,815000,60,13.41,637,38.9,0,1378000,59.1,2,Auto,Government,North,2,18715.26,0,0,0,28.3,Moderate,0.0458
LN101057,2023-01-09,49,106300,12.4,302000,48,13.72,786,52.3,0,469000,64.4,0,Personal,Salaried,North,2,8210.24,30,0,0,23.62,Low,0.0201
LN101299,2023-01-09,41,49100,5.2,931000,84,7.17,729,22.7,0,1568000,59.4,3,Personal,Salaried,West,4,14128.78,30,0,0,23.55,Low,0.0184
LN104682,2023-01-09,51,104400,10.5,474000,60,11.85,765,31.7,0,615000,77.1,1,Personal,Salaried,North,0,10507.97,0,0,0,18.55,Low,0.011
LN104221,2023-01-10,46,59400,22.5,234000,24,10.32,736,32.2,0,209000,112.0,0,Home,Salaried,East,0,10832.51,10,0,0,23.68,Low,0.0205
LN102417,2023-01-10,41,42000,17.4,674000,72,11.55,776,14.3,0,596000,113.1,3,Business,Government,West,0,13019.64,0,0,0,18.09,Low,0.0091
LN102794,2023-01-10,38,67300,7.0,330000,36,6.76,715,37.3,0,369000,89.4,1,Business,Salaried,North,1,10153.27,0,0,0,25.21,Moderate,0.0332
LN101202,2023-01-10,39,195300,5.6,423000,60,10.78,693,53.5,2,680000,62.2,1,Auto,Salaried,North,1,9150.7,0,0,0,30.9,Moderate,0.06
LN104864,2023-01-10,37,68700,14.0,864000,72,10.65,743,62.5,0,1105000,78.2,0,Education,Salaried,West,2,16290.98,0,0,0,29.32,Moderate,0.0477
LN103080,2023-01-11,49,46500,2.6,246000,84,13.27,681,7.1,0,378000,65.1,1,Business,Salaried,East,3,4511.41,0,0,0,21.88,Low,0.0163
LN100971,2023-01-11,32,65000,19.8,157000,60,10.66,825,48.1,0,237000,66.2,1,Education,Self-employed,West,1,3387.0,0,0,0,19.23,Low,0.0101
LN104101,2023-01-11,31,106200,11.7,631000,84,8.78,600,46.2,0,739000,85.4,2,Personal,Government,West,2,10081.9,45,1,0,34.35,Moderate,0.1357
LN103477,2023-01-11,21,30900,30.2,1039000,72,13.32,740,27.8,0,1219000,85.2,6,Personal,Government,West,2,21032.88,0,0,0,23.24,Low,0.0151
LN102192,2023-01-11,56,62500,7.7,661000,60,12.3,756,48.3,2,706000,93.6,0,Home,Contract,West,1,14803.98,0,0,0,29.66,Moderate,0.0642
LN102383,2023-01-12,38,44400,4.2,485000,72,14.03,708,31.5,0,695000,69.8,3,Personal,Self-employed,North,1,10001.58,0,0,0,22.46,Low,0.0273
LN104245,2023-01-12,24,45100,15.7,198000,36,12.4,688,18.5,2,152000,130.3,2,Personal,Salaried,North,0,6614.32,15,0,0,29.31,Moderate,0.0515
LN100125,2023-01-12,58,46800,3.7,1205000,72,11.81,723,27.9,0,1197000,100.7,4,Personal,Contract,East,1,23439.09,75,1,0,24.04,Low,0.0408
LN102840,2023-01-12,41,63100,4.6,93000,84,11.12,770,22.1,0,150000,62.0,0,Business,Government,East,0,1598.26,15,0,0,14.86,Low,0.0061
LN101147,2023-01-12,25,54400,10.7,385000,36,10.73,787,35.8,0,543000,70.9,1,Auto,Self-employed,East,0,12555.24,0,0,0,17.59,Low,0.01
LN101156,2023-01-12,32,60200,7.7,498000,48,12.4,675,30.9,0,646000,77.1,0,Auto,Government,East,3,13212.27,0,0,0,28.15,Moderate,0.0405
LN100283,2023-01-13,27,86700,8.8,271000,60,9.83,833,52.4,2,436000,62.2,2,Business,Contract,North,1,5735.31,5,0,0,23.27,Low,0.0221
LN101596,2023-01-13,44,51000,4.0,394000,60,9.59,718,35.2,1,686000,57.4,6,Personal,Salaried,West,2,8292.07,0,0,0,25.1,Moderate,0.0265
LN104800,2023-01-13,43,101800,3.5,1458000,72,13.99,606,31.3,0,1739000,83.8,1,Home,Self-employed,North,1,30035.36,0,0,0,29.22,Moderate,0.0818
LN103784,2023-01-14,42,36500,10.5,277000,60,15.06,790,25.5,0,185000,149.7,2,Home,Salaried,North,3,6598.54,10,0,0,28.25,Moderate,0.0377
LN104272,2023-01-14,26,40200,16.0,865000,60,13.8,662,27.0,0,617000,140.2,2,Business,Salaried,Central,0,20037.46,0,0,0,29.37,Moderate,0.069
LN101065,2023-01-14,28,57000,5.8,790000,12,10.15,737,46.3,0,1208000,65.4,2,Personal,Contract,Central,1,69508.68,0,0,0,23.45,Low,0.0349
LN103994,2023-01-14,21,64400,14.3,1100000,60,9.56,648,37.2,0,858000,128.2,3,Auto,Contract,West,0,23134.31,0,0,0,30.95,Moderate,0.1146
LN100038,2023-01-14,26,141700,6.0,245000,12,13.25,692,31.0,0,180000,136.1,0,Education,Salaried,East,0,21911.48,0,0,0,28.17,Moderate,0.0581
LN102168,2023-01-15,36,109400,11.4,150000,36,11.22,795,46.9,0,167000,89.8,3,Auto,Self-employed,West,0,4926.45,0,0,0,21.27,Low,0.0188
LN102656,2023-01-15,28,134800,6.0,413000,12,16.03,628,37.8,1,729000,56.7,1,Personal,Salaried,North,0,37477.71,0,0,0,26.98,Moderate,0.0467
LN103282,2023-01-15,21,95700,11.5,819000,60,10.41,709,31.6,0,1023000,80.1,0,Personal,Salaried,West,1,17567.01,5,0,0,23.46,Low,0.0236
LN102344,2023-01-15,21,52300,10.5,560000,60,15.07,682,44.7,0,862000,65.0,2,Personal,Self-employed,South,1,13342.95,0,0,0,26.0,Moderate,0.046
LN103011,2023-01-16,50,79900,14.6,327000,60,9.58,708,15.1,0,388000,84.3,1,Personal,Contract,Central,4,6880.4,0,0,0,25.63,Moderate,0.0331
LN103972,2023-01-16,41,47400,9.6,1879000,48,11.91,638,27.3,0,2215000,84.8,1,Personal,Salaried,Central,2,49398.29,0,0,0,28.5,Moderate,0.0536
LN101645,2023-01-16,42,154100,4.4,1091000,60,9.4,850,28.2,1,1420000,76.8,1,Education,Self-employed,South,0,22859.75,0,0,0,15.32,Low,0.0061
LN103174,2023-01-17,29,51900,7.6,616000,48,9.8,742,37.8,0,589000,104.6,0,Education,Self-employed,Central,2,15564.25,0,0,0,27.07,Moderate,0.0449
LN100943,2023-01-17,37,31000,11.5,350000,84,11.65,670,54.9,0,342000,102.3,2,Home,Salaried,North,2,6113.14,0,0,0,34.07,Moderate,0.1131
LN100539,2023-01-18,33,102700,12.3,423000,84,8.11,785,28.0,0,437000,96.8,3,Home,Government,North,2,6616.17,10,0,0,22.05,Low,0.0139
LN101090,2023-01-18,37,93000,10.0,617000,48,10.07,689,46.7,0,974000,63.3,0,Auto,Government,Central,2,15669.46,5,0,0,27.53,Moderate,0.0386
LN102700,2023-01-18,41,99700,1.8,854000,36,15.13,761,24.3,0,1327000,64.4,0,Personal,Government,South,1,29658.59,0,0,0,17.68,Low,0.0096
LN100440,2023-01-18,41,48700,8.2,984000,60,9.46,666,51.3,1,654000,150.5,0,Personal,Salaried,South,0,20646.6,0,0,0,37.0,Moderate,0.2195
LN101356,2023-01-18,33,182100,11.0,301000,48,13.45,691,30.3,2,462000,65.2,1,Personal,Salaried,South,1,8142.47,0,0,0,26.66,Moderate,0.0307
LN104857,2023-01-18,47,54000,9.4,207000,60,7.96,600,28.9,0,171000,121.1,1,Personal,Salaried,East,2,4193.25,90,1,1,34.46,Moderate,0.1443
LN102370,2023-01-18,37,71900,3.6,1844000,24,14.95,730,28.5,0,1731000,106.5,0,Education,Salaried,Central,1,89365.58,0,0,0,24.37,Low,0.0274
LN101656,2023-01-19,40,35300,8.1,735000,36,7.41,561,48.8,0,744000,98.8,2,Personal,Self-employed,North,0,22832.7,0,0,0,34.94,Moderate,0.2288
LN104104,2023-01-19,37,40400,8.1,124000,36,15.15,655,22.1,0,100000,124.0,0,Home,Self-employed,East,1,4307.61,5,0,0,28.81,Moderate,0.0707
LN104133,2023-01-19,49,74100,11.9,295000,72,10.69,672,12.5,0,305000,96.7,2,Home,Salaried,West,2,5568.33,0,0,0,24.93,Low,0.0248
LN103347,2023-01-19,52,75600,8.7,685000,48,13.95,636,30.9,0,531000,129.0,2,Home,Government,South,1,18701.46,180,1,1,32.08,Moderate,0.0982
LN102378,2023-01-19,34,85600,20.1,522000,36,11.74,733,29.9,2,570000,91.6,1,Personal,Self-employed,Central,0,17273.12,0,0,0,25.33,Moderate,0.0291
LN102531,2023-01-19,30,87400,9.7,467000,24,11.26,715,8.4,0,784000,59.6,3,Education,Contract,Central,1,21822.28,0,0,0,16.45,Low,0.0089
LN100368,2023-01-19,39,51400,11.8,690000,60,9.4,685,25.8,0,1044000,66.1,0,Home,Salaried,East,3,14457.59,0,0,0,25.51,Moderate,0.024
LN101209,2023-01-20,54,47400,2.8,1630000,48,14.83,639,31.1,0,2356000,69.2,3,Personal,Salaried,Central,0,45223.78,0,0,0,24.31,Low,0.036
LN101341,2023-01-20,38,61500,5.4,969000,60,8.98,850,10.2,0,1226000,79.0,2,Business,Salaried,North,5,20105.44,0,0,0,18.27,Low,0.006
LN101846,2023-01-20,49,67900,10.5,1398000,60,10.04,691,32.8,0,1166000,119.9,2,Personal,Salaried,North,3,29730.89,0,0,0,31.97,Moderate,0.0823
LN102116,2023-01-21,36,150800,10.6,781000,36,7.59,610,28.0,0,1001000,78.0,1,Personal,Salaried,Central,3,24326.25,10,0,0,31.11,Moderate,0.0741
LN100883,2023-01-21,47,31600,5.4,136000,36,8.69,807,45.5,1,152000,89.5,2,Personal,Government,East,2,4305.17,10,0,0,25.66,Moderate,0.0272
LN104882,2023-01-21,30,36600,18.4,204000,24,15.74,731,34.8,0,285000,71.6,4,Home,Salaried,North,4,9963.15,0,0,0,27.09,Moderate,0.0249
LN101756,2023-01-21,37,76700,4.5,826000,84,10.21,739,42.0,1,1238000,66.7,2,Education,Government,West,1,13802.37,0,0,0,24.61,Low,0.0237
LN103281,2023-01-21,38,125700,10.8,250000,24,11.33,734,45.6,0,231000,108.2,0,Personal,Self-employed,North,2,11690.3,0,0,0,29.41,Moderate,0.0712
LN103267,2023-01-22,35,38900,6.2,107000,36,10.81,820,29.7,0,126000,84.9,1,Personal,Government,North,0,3493.42,0,0,0,16.02,Low,0.0073
LN103709,2023-01-22,38,42700,7.3,1044000,48,12.21,631,9.6,1,1425000,73.3,2,Business,Salaried,North,3,27600.29,0,0,0,27.84,Moderate,0.0379
LN100478,2023-01-22,66,51600,17.6,840000,60,10.73,714,38.8,0,1364000,61.6,2,Home,Salaried,Central,0,18150.73,0,0,0,21.12,Low,0.0141
LN104396,2023-01-22,30,88200,5.9,557000,60,8.51,723,44.2,0,397000,140.3,2,Personal,Salaried,North,1,11430.39,120,1,1,31.26,Moderate,0.0948
LN103861,2023-01-22,31,69400,8.8,623000,60,13.94,684,5.0,1,978000,63.7,4,Personal,Salaried,East,3,14476.75,0,0,0,23.16,Low,0.0163
LN100355,2023-01-23,29,99900,7.0,835000,48,9.07,691,75.9,0,605000,138.0,1,Auto,Salaried,West,1,20806.78,240,1,1,39.06,Moderate,0.2681
LN102447,2023-01-23,36,51500,7.7,867000,84,9.17,702,49.7,0,895000,96.9,0,Education,Salaried,Central,2,14024.15,0,0,0,30.8,Moderate,0.069
LN100745,2023-01-24,31,77500,7.6,391000,72,11.37,673,37.2,0,535000,73.1,1,Personal,Contract,North,1,7516.63,0,0,0,25.79,Moderate,0.0528
LN104831,2023-01-24,27,44000,5.9,467000,60,9.67,762,27.3,1,494000,94.5,2,Education,Salaried,Central,2,9846.71,0,0,0,24.9,Low,0.0218
LN102316,2023-01-24,46,41600,15.2,317000,84,13.99,588,51.6,0,542000,58.5,0,Business,Self-employed,South,1,5938.83,0,0,0,31.71,Moderate,0.1131
LN103642,2023-01-24,29,112500,6.2,439000,84,9.84,745,60.6,0,315000,139.4,1,Home,Salaried,North,0,7251.68,30,1,0,31.62,Moderate,0.0977
LN104749,2023-01-24,39,113000,8.7,603000,60,11.0,684,48.1,0,442000,136.4,0,Business,Government,South,1,13110.68,180,1,1,33.71,Moderate,0.1345
LN104813,2023-01-24,31,111300,7.6,779000,48,8.55,718,29.8,1,1298000,60.0,0,Business,Salaried,East,2,19219.42,0,0,0,24.28,Low,0.0214
LN101160,2023-01-24,21,69600,3.1,257000,60,9.61,803,22.6,0,386000,66.6,1,Personal,Contract,North,0,5411.3,0,0,0,13.67,Low,0.0072
LN102314,2023-01-25,44,38000,4.6,1732000,48,9.28,771,29.3,0,2597000,66.7,0,Home,Salaried,East,5,43331.54,0,0,0,25.05,Moderate,0.0187
LN103636,2023-01-25,35,119800,6.0,188000,72,10.7,677,44.7,1,328000,57.3,2,Personal,Salaried,East,1,4462.55,0,0,0,27.5,Moderate,0.0442
LN103367,2023-01-25,40,78100,7.2,151000,60,9.49,816,44.1,0,232000,65.1,3,Business,Salaried,Central,3,3170.54,0,0,0,22.13,Low,0.0144
LN103561,2023-01-25,31,91400,10.2,1001000,60,14.82,700,23.4,0,1743000,57.4,0,Home,Self-employed,Central,0,23719.25,0,0,0,18.36,Low,0.0122
LN100748,2023-01-26,32,64400,8.1,874000,36,9.59,704,18.1,0,1189000,73.5,0,Personal,Self-employed,Central,1,28033.58,30,0,0,20.37,Low,0.0181
LN102938,2023-01-26,23,133200,7.0,402000,24,9.46,619,40.5,0,690000,58.3,1,Home,Government,South,2,18450.23,30,0,0,29.49,Moderate,0.0585
LN101370,2023-01-26,36,57400,9.8,1187000,48,10.82,630,41.1,1,820000,144.8,3,Home,Salaried,East,3,30574.98,0,0,0,41.35,Moderate,0.2745
LN102567,2023-01-26,44,36100,10.7,1140000,36,19.2,711,52.3,1,998000,114.2,3,Personal,Salaried,North,2,41903.23,0,0,0,34.57,Moderate,0.1177
LN104102,2023-01-27,50,92400,7.4,1878000,84,10.48,746,33.8,1,1550000,121.2,3,Auto,Salaried,North,3,31644.77,10,0,0,31.39,Moderate,0.0586
LN102649,2023-01-27,46,39100,16.7,207000,36,6.93,785,24.1,0,265000,78.1,3,Personal,Self-employed,Central,3,6384.94,0,0,0,21.07,Low,0.0136
LN102604,2023-01-27,32,75300,10.5,221000,72,6.5,640,52.1,1,292000,75.7,0,Personal,Salaried,South,1,3714.99,0,0,0,32.77,Moderate,0.1014
LN100369,2023-01-28,31,139400,8.0,383000,36,11.86,792,53.1,0,490000,78.2,0,Business,Salaried,West,2,12695.49,0,0,0,24.84,Low,0.026
LN100048,2023-01-28,41,111400,12.4,1000000,48,15.53,633,13.9,1,672000,148.8,2,Home,Salaried,West,1,28100.15,0,0,0,32.81,Moderate,0.0927
LN102310,2023-01-28,35,52400,2.9,607000,36,10.3,732,30.3,0,469000,129.4,0,Business,Salaried,West,0,19671.79,0,0,0,25.25,Moderate,0.0398
LN101679,2023-01-28,34,49900,4.1,347000,36,11.86,737,9.5,1,394000,88.1,1,Personal,Self-employed,Central,1,11502.18,0,0,0,20.36,Low,0.0163
LN104154,2023-01-28,47,56400,10.3,168000,36,9.25,635,60.1,1,239000,70.3,3,Personal,Salaried,West,3,5361.92,0,0,0,37.43,Moderate,0.17
LN102352,2023-01-29,44,51100,17.9,414000,36,10.09,749,44.6,0,401000,103.2,1,Business,Self-employed,Central,1,13376.12,0,0,0,26.25,Moderate,0.0411
LN100049,2023-01-29,22,59400,17.9,936000,48,13.69,745,53.0,0,677000,138.3,2,Home,Self-employed,Central,1,25432.27,0,0,0,31.66,Moderate,0.0924
LN101144,2023-01-29,36,86300,8.8,413000,72,11.49,741,31.4,2,488000,84.6,1,Personal,Salaried,South,2,7965.12,60,1,0,27.84,Moderate,0.0339
LN103735,2023-01-29,37,47900,4.0,1624000,84,13.38,776,63.7,1,1664000,97.6,1,Personal,Salaried,East,2,29880.28,30,1,0,31.75,Moderate,0.0784
LN101397,2023-01-30,29,35100,11.6,2058000,60,6.5,713,27.9,0,2799000,73.5,0,Personal,Government,Central,3,40267.13,15,0,0,25.18,Moderate,0.0252
LN104744,2023-01-30,52,85600,8.7,536000,36,15.05,701,29.8,2,613000,87.4,0,Home,Salaried,North,0,18593.74,20,0,0,26.59,Moderate,0.0312
LN104141,2023-01-30,53,59700,10.2,485000,60,11.33,699,21.5,0,599000,81.0,0,Home,Salaried,West,1,10625.07,10,0,0,22.06,Low,0.0169
LN102388,2023-01-30,46,80300,9.5,491000,12,10.36,726,43.2,0,777000,63.2,2,Auto,Self-employed,North,1,43248.95,0,0,0,23.19,Low,0.025
LN104323,2023-01-30,28,29900,4.8,184000,48,6.5,841,41.0,0,295000,62.4,0,Personal,Self-employed,North,4,4363.55,0,0,0,21.58,Low,0.0152
LN101474,2023-01-31,31,27000,11.6,798000,24,11.93,680,23.0,1,778000,102.6,4,Education,Contract,West,0,37538.55,5,0,0,25.86,Moderate,0.0438
LN103766,2023-01-31,29,105800,5.2,634000,36,10.52,760,52.2,1,743000,85.3,1,Auto,Salaried,East,1,20612.53,0,0,0,27.4,Moderate,0.0375
LN104424,2023-01-31,30,98600,14.5,419000,72,12.78,738,21.8,0,410000,102.2,0,Home,Salaried,North,1,8362.48,0,0,0,22.18,Low,0.0159
LN103917,2023-01-31,43,50900,6.9,975000,24,11.08,760,13.8,0,946000,103.1,0,Auto,Government,North,1,45478.86,0,0,0,19.5,Low,0.011
LN104138,2023-02-01,46,48500,9.0,631000,36,8.97,752,30.1,0,484000,130.4,2,Business,Self-employed,North,0,20056.82,0,0,0,24.25,Low,0.0375
LN103393,2023-02-01,37,55100,15.5,635000,72,12.91,635,25.9,1,1078000,58.9,2,Personal,Contract,South,3,12716.91,0,0,0,29.45,Moderate,0.062
LN103646,2023-02-01,40,22600,10.6,301000,84,13.08,664,38.8,0,532000,56.6,1,Home,Salaried,West,0,5488.88,0,0,0,23.27,Low,0.0234
LN100219,2023-02-01,39,36600,17.8,707000,36,10.51,691,33.2,0,895000,79.0,2,Home,Contract,East,1,22982.56,0,0,0,24.62,Low,0.0332
LN104636,2023-02-01,43,62700,8.5,202000,84,12.16,716,27.3,0,269000,75.1,1,Education,Salaried,West,2,3583.16,0,0,0,23.4,Low,0.0193
LN102526,2023-02-02,42,105900,5.2,352000,36,11.75,727,48.7,2,527000,66.8,2,Personal,Salaried,Central,4,11649.45,0,0,0,33.6,Moderate,0.0751
LN101786,2023-02-02,35,103900,1.6,857000,24,7.36,726,36.0,0,730000,117.4,1,Home,Contract,North,0,38510.12,0,0,0,25.5,Moderate,0.0536
LN104781,2023-02-02,41,108700,13.8,432000,36,16.66,723,71.8,0,290000,149.0,1,Auto,Salaried,West,0,15328.98,10,0,0,35.98,Moderate,0.1748
LN100426,2023-02-02,29,103200,13.1,308000,60,12.39,687,35.8,0,227000,135.7,2,Home,Salaried,East,4,6912.14,0,0,0,36.03,Moderate,0.1234
LN101229,2023-02-02,58,48000,13.6,1540000,60,10.87,710,33.4,2,1114000,138.2,0,Home,Government,East,1,33383.58,120,1,1,33.58,Moderate,0.0849
LN100208,2023-02-03,43,39700,7.2,292000,60,10.64,634,17.3,0,258000,113.2,2,Auto,Government,North,3,6296.49,5,0,0,31.22,Moderate,0.0708
LN100180,2023-02-03,44,72200,10.8,352000,60,12.92,621,20.8,0,230000,153.0,4,Auto,Salaried,East,2,7994.67,0,0,0,34.62,Moderate,0.1371
LN104105,2023-02-04,40,55100,2.0,836000,36,12.94,786,14.5,0,1474000,56.7,2,Auto,Contract,North,3,28143.99,0,0,0,16.96,Low,0.0083
LN101687,2023-02-04,40,41700,10.2,682000,12,12.57,676,46.9,0,489000,139.5,2,Home,Government,South,1,60776.88,0,0,0,34.21,Moderate,0.1312
LN101991,2023-02-04,45,103200,9.9,903000,12,8.67,833,25.6,0,1147000,78.7,3,Business,Self-employed,South,1,78830.56,0,0,0,15.56,Low,0.0069
LN100133,2023-02-04,42,80800,5.7,552000,84,10.37,748,27.8,0,904000,61.1,1,Home,Government,South,1,9269.73,0,0,0,18.74,Low,0.0097
LN100822,2023-02-04,59,38100,7.9,644000,60,10.34,665,38.7,0,845000,76.2,0,Auto,Salaried,North,0,13791.08,0,0,0,25.15,Moderate,0.0338
LN100950,2023-02-04,36,69400,6.4,716000,60,12.17,676,51.1,1,903000,79.3,1,Personal,Government,North,2,15988.6,0,0,0,32.7,Moderate,0.0936
LN102650,2023-02-04,30,110400,10.4,1389000,36,10.76,641,8.8,1,1367000,101.6,0,Auto,Government,West,2,45316.37,5,0,0,28.32,Moderate,0.04
LN103982,2023-02-04,66,62000,2.6,426000,72,7.98,734,42.5,0,507000,84.0,0,Home,Salaried,Central,2,7465.0,0,0,0,26.37,Moderate,0.0346
LN103499,2023-02-05,35,108300,8.0,324000,48,9.17,773,25.3,1,569000,56.9,3,Personal,Salaried,West,1,8088.93,15,0,0,18.49,Low,0.0086
LN103860,2023-02-05,34,74900,6.0,213000,24,13.29,694,29.1,0,155000,137.4,0,Business,Salaried,North,0,10155.45,0,0,0,27.82,Moderate,0.0602
LN101423,2023-02-05,30,69400,6.4,534000,48,12.19,628,37.1,0,820000,65.1,0,Home,Salaried,South,0,14112.14,0,0,0,25.68,Moderate,0.0386
LN103421,2023-02-06,37,102200,4.7,269000,36,11.97,850,45.7,0,370000,72.7,0,Education,Contract,Central,1,8930.8,0,0,0,18.08,Low,0.0116
LN104707,2023-02-06,34,104700,2.7,344000,60,13.35,694,52.2,1,381000,90.3,2,Auto,Self-employed,North,1,7888.83,0,0,0,31.4,Moderate,0.0964
LN100734,2023-02-06,47,49300,11.9,1235000,72,7.79,681,55.2,1,1694000,72.9,1,Personal,Salaried,Central,2,21527.14,0,0,0,32.61,Moderate,0.0852
LN104695,2023-02-06,36,44300,12.0,469000,36,13.71,697,29.8,0,762000,61.5,4,Home,Self-employed,North,1,15963.33,0,0,0,21.88,Low,0.0196
LN101483,2023-02-06,34,55400,2.5,376000,48,13.11,606,30.3,0,534000,70.4,0,Auto,Self-employed,South,0,10107.68,0,0,0,26.02,Moderate,0.0542
LN100183,2023-02-06,42,77500,5.7,564000,60,8.11,802,27.7,0,637000,88.5,0,Auto,Self-employed,West,1,11465.6,15,0,0,18.6,Low,0.0115
LN101237,2023-02-06,33,66700,14.0,561000,60,12.43,693,36.6,0,691000,81.2,3,Personal,Salaried,South,2,12601.38,0,0,0,27.09,Moderate,0.0381
LN104344,2023-02-07,32,66000,9.5,692000,60,14.34,660,31.4,0,1046000,66.2,0,Home,Salaried,South,1,16223.87,0,0,0,24.63,Low,0.0271
LN104379,2023-02-07,31,70100,5.0,457000,84,6.75,605,20.3,1,450000,101.6,3,Personal,Salaried,West,2,6841.64,0,0,0,32.52,Moderate,0.0983
LN104004,2023-02-07,26,60300,9.3,241000,12,6.94,731,31.6,0,269000,89.6,1,Home,Self-employed,East,2,20846.28,0,0,0,24.91,Low,0.0305
LN101942,2023-02-07,40,121300,11.5,78000,72,12.62,724,52.2,0,57000,136.8,1,Education,Salaried,South,1,5276.55,0,0,0,32.46,Moderate,0.0951
LN102772,2023-02-07,36,56500,2.2,327000,36,11.42,739,44.7,2,530000,61.7,0,Business,Self-employed,West,5,10770.72,10,0,0,33.32,Moderate,0.0803
LN101922,2023-02-08,28,80000,11.1,1559000,84,10.34,701,42.2,2,1361000,114.5,1,Auto,Contract,North,2,26155.95,0,0,0,35.11,Moderate,0.1372
LN104173,2023-02-08,29,37400,11.0,414000,72,10.71,705,22.3,0,391000,105.9,1,Personal,Salaried,Central,1,7818.75,0,0,0,24.39,Low,0.0282
LN102765,2023-02-08,45,64100,12.2,208000,84,9.47,634,33.4,1,339000,61.4,0,Auto,Salaried,Central,1,3396.35,5,0,0,27.92,Moderate,0.04
